user_id,first_name,last_name,email,signup_date,country,city,postal_code,age,gender,loyalty_tier
U000001,Angel,Hill,donaldgarcia@example.net,2025-03-13,Uganda,New Roberttown,12781,30,Male,Silver
U000002,William,Johnson,jennifermiles@example.com,2024-05-29,Cyprus,Lawrencetown,21427,47,Female,None
U000003,Matthew,Moore,curtis61@example.com,2025-04-22,Tanzania,Cassandraton,96148,29,Male,Silver
U000004,David,Nielsen,arnoldmaria@example.net,2024-11-10,Turks and Caicos Islands,Barbaraland,06507,20,Male,None
U000005,Kendra,Galloway,michellejames@example.com,2025-03-28,North Macedonia,Franciscostad,27961,45,Male,Silver
U000006,Jacqueline,Sutton,lynchgeorge@example.net,2025-04-03,Ecuador,South Noah,84387,69,Female,None
U000007,Jeffrey,Nguyen,perezantonio@example.com,2025-04-15,Iran,Carlshire,94599,51,Male,Silver
U000008,Diana,Foster,ithomas@example.org,2024-08-03,Samoa,Juliechester,76985,36,Prefer not to say,None
U000009,Jeffrey,Bright,ddavis@example.org,2024-09-30,Cape Verde,Port Erin,78673,35,Female,Platinum
U000010,Patrick,Ferrell,tasha01@example.net,2024-02-13,Turks and Caicos Islands,Kaylamouth,15122,59,Male,None
U000011,Eric,Smith,teresa28@example.org,2024-07-19,Trinidad and Tobago,Meaganhaven,80319,28,Other,Gold
U000012,Nathaniel,Martin,georgetracy@example.org,2024-05-16,Vanuatu,Natashaport,31886,49,Male,Silver
U000013,Natalie,Arroyo,dennislisa@example.net,2024-02-09,Seychelles,East Donna,72564,31,Prefer not to say,None
U000014,Allison,Obrien,sarahcampos@example.net,2024-04-22,Cook Islands,Raymondstad,57923,53,Other,Silver
U000015,Shannon,Wright,morganbrianna@example.org,2025-09-07,Namibia,North Chad,83220,24,Male,Silver
U000016,Carlos,Johnson,chad34@example.net,2024-02-10,Libyan Arab Jamahiriya,New David,75348,53,Male,Gold
U000017,John,Kennedy,glee@example.net,2025-01-29,Jersey,Rodneymouth,96062,28,Prefer not to say,None
U000018,Denise,Lucas,powellmatthew@example.org,2024-02-07,Egypt,East Amanda,18874,62,Female,None
U000019,Joshua,Wright,ramosmichelle@example.net,2024-10-15,Bolivia,Lake Yvettetown,12725,42,Other,Silver
U000020,Melinda,Martin,zolson@example.org,2025-09-25,Chad,Smithfurt,35261,25,Female,Silver
U000021,Kristen,Mitchell,smoore@example.org,2025-09-25,Azerbaijan,Lake Leeton,77070,47,Female,None
U000022,Samantha,Schmidt,yuchristopher@example.org,2024-11-22,Bangladesh,Lake Michellefurt,16214,50,Female,Silver
U000023,Ashley,Riley,harveyrobert@example.net,2025-10-06,Mongolia,Sarahborough,88283,23,Female,Gold
U000024,John,Foster,stephen10@example.com,2025-05-04,Nigeria,North Amandahaven,35261,56,Prefer not to say,None
U000025,Michael,Jones,mikemoore@example.net,2024-03-31,Romania,Cherylhaven,01526,43,Other,None
U000026,Angela,Huynh,mcmillandennis@example.org,2025-04-01,Tuvalu,Lake Angelaview,37431,79,Prefer not to say,Gold
U000027,Jennifer,Harris,william40@example.org,2025-02-17,North Macedonia,Calderonton,00965,74,Female,None
U000028,David,Whitney,joycearnold@example.com,2024-08-16,Monaco,North Charlesberg,72012,47,Other,Silver
U000029,Mike,Tran,tanderson@example.com,2024-01-25,United Arab Emirates,West Jasonbury,87917,70,Prefer not to say,None
U000030,Kimberly,Henson,vdickson@example.org,2024-03-11,Uzbekistan,Port Francisco,23707,33,Prefer not to say,None
U000031,Angel,Doyle,kimberly63@example.com,2025-08-25,Cayman Islands,South Monicafort,29655,22,Male,None
U000032,Samantha,Bailey,jeffreykeller@example.com,2024-05-16,Greenland,Michelleview,46526,36,Prefer not to say,Silver
U000033,Ricardo,Zavala,sheila14@example.org,2025-03-14,Mozambique,Benjaminchester,45810,65,Prefer not to say,Silver
U000034,Lee,Obrien,cruzbarbara@example.com,2025-05-13,Aruba,Smithside,90528,75,Other,Platinum
U000035,Judy,Lambert,ryan59@example.com,2025-05-07,Panama,Lake Rachelhaven,41039,17,Male,Silver
U000036,Mark,Terry,jamesortega@example.com,2025-04-01,Philippines,New Ashley,53726,50,Other,None
U000037,Aaron,Mitchell,mfloyd@example.net,2025-01-09,Gibraltar,Ramosborough,67501,71,Female,None
U000038,Rachel,Flynn,donnacampbell@example.net,2024-11-19,North Macedonia,Clarencebury,88685,49,Female,Silver
U000039,Lindsay,Hernandez,sanchezthomas@example.org,2024-07-31,Korea,Mercadoshire,25986,29,Other,Gold
U000040,Patrick,Ross,dianasmith@example.org,2025-05-06,Slovakia (Slovak Republic),Robinsonhaven,61390,80,Female,None
U000041,John,Charles,danderson@example.net,2024-02-04,Marshall Islands,Stephaniemouth,80802,36,Male,Silver
U000042,Patricia,Simmons,vmerritt@example.com,2025-07-11,Korea,Karenview,68828,78,Male,None
U000043,John,Gonzales,jimmy55@example.net,2024-11-27,Belgium,East Jesse,91458,62,Other,None
U000044,Jason,Perry,amy60@example.org,2024-04-14,Syrian Arab Republic,Priceshire,91664,46,Male,None
U000045,Nicole,Johnston,wsmith@example.com,2024-01-14,Sao Tome and Principe,Castanedachester,71046,78,Male,Platinum
U000046,Amy,Morrison,tracynelson@example.com,2025-05-26,Antarctica (the territory South of 60 deg S),Rogersfurt,95420,32,Female,Silver
U000047,Tanner,Anderson,meadowsbrittany@example.net,2024-04-22,Anguilla,Lake Roymouth,24320,37,Other,Silver
U000048,Nicholas,Lewis,matthew64@example.com,2024-02-04,El Salvador,South Andrewside,07327,70,Female,Gold
U000049,Michael,Santos,websterstefanie@example.org,2025-11-14,Taiwan,New Elijahberg,62571,41,Other,None
U000050,Anne,Robinson,katie29@example.net,2025-04-02,San Marino,Port Loriport,14669,63,Prefer not to say,Gold
U000051,Sarah,Johnston,tsanders@example.org,2025-01-30,Belarus,North Heidi,40030,73,Male,None
U000052,Caroline,Martinez,reedross@example.com,2025-08-04,Bangladesh,Alexanderchester,64752,24,Other,None
U000053,Susan,Reid,bzimmerman@example.org,2024-03-13,Saint Martin,Christinaside,63873,45,Female,None
U000054,Margaret,Vargas,melissa14@example.com,2024-11-13,Ecuador,Hudsonfurt,44593,23,Female,None
U000055,Melissa,White,michaelgreen@example.com,2024-01-20,Turkmenistan,Angelahaven,25543,20,Other,None
U000056,Jennifer,Freeman,hannahbrewer@example.com,2024-02-28,Kiribati,North Kellyfurt,91174,46,Other,Silver
U000057,Elizabeth,Wood,ronald85@example.com,2024-06-15,Reunion,Nelsonview,30718,43,Female,Silver
U000058,James,Wilson,jamesrodgers@example.com,2024-03-23,Saint Kitts and Nevis,Tinaborough,39330,76,Female,Silver
U000059,Harry,Smith,joshuamccann@example.net,2024-06-04,French Guiana,Lake Miranda,64841,68,Female,None
U000060,Alexander,Mitchell,lalexander@example.org,2024-03-11,El Salvador,Wilsonland,53022,71,Other,None
U000061,Barbara,Parks,edwardhart@example.com,2024-12-02,Belize,North Angela,55049,75,Male,Silver
U000062,Krystal,Perez,chayes@example.com,2025-02-18,Tokelau,Torreston,80406,28,Male,None
U000063,Cory,Farmer,josephmiller@example.org,2025-10-18,China,East Aaronmouth,90858,59,Male,None
U000064,Kelly,Hall,jacqueline71@example.net,2025-02-10,Djibouti,Kristinshire,87163,40,Prefer not to say,None
U000065,James,Wilson,deborahkerr@example.org,2025-07-03,Barbados,East Laurashire,38329,39,Other,None
U000066,Taylor,Torres,gbender@example.net,2024-10-27,Lithuania,Millerton,57127,25,Prefer not to say,Gold
U000067,Cassandra,Johnson,suzannehuff@example.net,2025-05-17,Namibia,Port Emilyview,76030,28,Male,Silver
U000068,Katelyn,Ruiz,lmoon@example.net,2024-01-28,Jordan,Costafort,46108,17,Male,Gold
U000069,Manuel,Garcia,marksteele@example.com,2024-10-06,Panama,Cervantesside,05310,46,Female,None
U000070,Leonard,Morris,ahancock@example.net,2024-11-07,Trinidad and Tobago,Gutierrezborough,68453,77,Female,Gold
U000071,Katherine,Garrett,harrisandrea@example.com,2024-09-04,Kazakhstan,Martinezbury,93533,23,Female,None
U000072,Andrea,Tran,walkermaureen@example.org,2024-04-18,Kyrgyz Republic,Lake Marilynfort,94427,65,Other,Gold
U000073,Janice,Perry,pbaird@example.com,2024-07-18,Micronesia,South James,79062,74,Other,None
U000074,Natasha,Shields,kendra65@example.net,2024-12-13,Ethiopia,West Jessicashire,76512,78,Female,None
U000075,Tracy,Hernandez,jreed@example.net,2025-11-14,Honduras,Cantuborough,91923,43,Male,Silver
U000076,Patrick,Chase,vwilliams@example.com,2024-06-12,Romania,Hughesberg,65424,23,Other,None
U000077,David,Sanford,molly71@example.net,2025-10-21,United States Minor Outlying Islands,Smithberg,54237,77,Female,None
U000078,Tara,Jones,matthew61@example.com,2025-08-18,Timor-Leste,Finleyfort,71413,26,Female,None
U000079,Casey,Welch,wendy16@example.org,2024-01-25,Senegal,South Garrettport,04295,24,Female,None
U000080,Laura,Carter,ryan38@example.com,2024-02-01,Mongolia,East Gregory,80388,47,Male,Silver
U000081,Christine,Allen,jesselittle@example.com,2025-08-18,Equatorial Guinea,Port Stevenport,89316,69,Other,Gold
U000082,Charles,Landry,danielle64@example.com,2025-01-08,Tanzania,Jamesfurt,63836,42,Other,None
U000083,Patrick,Howard,victoria40@example.net,2024-03-13,Indonesia,Alanton,79983,66,Female,Silver
U000084,Marissa,Leach,catherinegomez@example.net,2025-05-24,Comoros,Ericaberg,82846,54,Prefer not to say,None
U000085,Courtney,Williams,xjohnson@example.net,2024-03-07,Bulgaria,West Markchester,23522,25,Male,None
U000086,Kristin,Walter,alyssa42@example.com,2024-05-17,United States Minor Outlying Islands,Coffeyport,98354,28,Male,Silver
U000087,Linda,Mcdonald,taylortammy@example.net,2025-08-18,Saint Kitts and Nevis,Coffeyside,48443,80,Other,None
U000088,Ralph,Baker,gibsonemily@example.net,2024-03-02,Estonia,Carsonstad,14702,60,Male,Gold
U000089,Thomas,Harvey,rose31@example.net,2025-04-06,Swaziland,Blankenshipport,85598,63,Other,None
U000090,Donald,Shah,wendy11@example.org,2024-10-06,Tuvalu,South Shawn,88382,54,Male,Silver
U000091,Heather,Fernandez,nicolepena@example.com,2025-10-11,Nicaragua,Crosbyview,04789,54,Male,Gold
U000092,Jeff,Wallace,melissagarcia@example.net,2025-04-17,Heard Island and McDonald Islands,Bruceview,25379,33,Other,None
U000093,Stacy,Holloway,batesdarlene@example.net,2025-10-24,Angola,Port Matthewberg,74501,29,Female,None
U000094,Maria,Spencer,lisahall@example.org,2024-05-20,Solomon Islands,West Micheleberg,17539,42,Other,None
U000095,Lauren,Rodriguez,andersonmichael@example.org,2025-01-04,Namibia,Alfredview,07369,49,Prefer not to say,None
U000096,Robert,Wilson,alvarezkimberly@example.net,2024-03-27,Nauru,South Williamton,95822,22,Male,Silver
